fsca_id,cihaz_id,kategori,konu,mevcut_asama,asama_no,sorumlu,baslangic,bitis,durum,fsn_deadline
FSCA-020,CIH-280,Endoscope,Dezenfeksiyon protokolü güncellendi; biyofilm riski azaltıldı,Risk Assessment,2,Quality Manager B. Demir,2025-11-26,2026-04-19,In Progress,2026-04-12
FSCA-021,CIH-304,Examination Light,CO2 absorber alarm calibration; response delay corrected,Risk Assessment,2,Biomedical Eng. A. Yilmaz,2026-02-03,2026-06-24,In Progress,2026-05-19
FSCA-022,CIH-302,Examination Light,CO2 absorber alarm calibration; response delay corrected,Closure,5,Risk Manager S. Arslan,2025-12-25,2026-04-19,Closed,2026-03-13
FSCA-023,CIH-041,Glucose Meter,Test şeridi lot kalite kontrolü güçlendirildi,Signal Detection,1,Biomedical Eng. M. Celik,2026-01-13,2026-07-20,Open,2026-06-04
FSCA-024,CIH-042,Glucose Meter,Test şeridi lot kalite kontrolü güçlendirildi,Closure,5,Risk Manager C. Sahin,2025-10-14,2026-04-17,Closed,2026-02-27
FSCA-025,CIH-135,Hemodialysis Machine,İletkenlik sensörü kalibrasyon prosedürü güncellendi,Risk Assessment,2,Quality Manager B. Demir,2025-11-27,2026-04-19,In Progress,2026-04-12
FSCA-026,CIH-132,Hemodialysis Machine,İletkenlik sensörü kalibrasyon prosedürü güncellendi,Implementation,4,Risk Manager S. Arslan,2025-10-06,2026-08-27,In Progress,2026-07-11
FSCA-027,CIH-003,Infusion Pump,Flow sensörü kalibrasyon sapması; seri B cihazlar geri çağrıldı,Closure,5,Biomedical Eng. G. Arslan,2026-01-10,2026-03-24,Closed,2026-02-16
FSCA-028,CIH-005,Infusion Pump,Flow sensörü kalibrasyon sapması; seri B cihazlar geri çağrıldı,Closure,5,Risk Manager C. Sahin,2025-11-03,2026-04-29,Closed,2026-03-08
FSCA-029,CIH-143,Insulin Pump,CO2 absorber alarm calibration; response delay corrected,Planning,3,Quality Manager E. Kaya,2025-12-12,2026-06-30,In Progress,2026-05-11
FSCA-030,CIH-144,Insulin Pump,CO2 absorber alarm calibration; response delay corrected,Planning,3,Quality Manager E. Kaya,2026-01-21,2026-04-22,In Progress,2026-04-15
FSCA-031,CIH-200,Laboratory Analyzer,Adhesive formula revision; skin compatibility improved,Closure,5,Biomedical Eng. M. Celik,2026-01-06,2026-03-28,Closed,2026-02-09
FSCA-032,CIH-079,MRI System,Gradient bobini soğutma sistemi güçlendirildi,Closure,5,Quality Manager E. Kaya,2026-01-26,2026-04-10,Closed,2026-02-26
FSCA-033,CIH-038,Orthopedic Implant,Yüzey kaplama prosesi iyileştirildi; aşınma direnci artırıldı,Closure,5,Risk Manager C. Sahin,2026-02-06,2026-04-10,Closed,2026-03-04
FSCA-034,CIH-269,Pacemaker/ICD,Batarya izleme algoritması güncellendi; erken uyarı iyileştirildi,Planning,3,Risk Manager C. Sahin,2025-11-03,2026-07-16,In Progress,2026-06-02
FSCA-035,CIH-024,Patient Monitor,CO2 absorber alarm calibration; response delay corrected,Closure,5,Quality Manager B. Demir,2025-10-15,2026-05-03,Closed,2026-03-16
FSCA-036,CIH-250,Phototherapy System,Adhesive formula revision; skin compatibility improved,Risk Assessment,2,Biomedical Eng. A. Yilmaz,2025-11-04,2026-08-23,In Progress,2026-07-16
FSCA-037,CIH-093,Pulse Oximeter,Hareket artefaktı filtresi güncellendi; ölçüm güvenilirliği artırıldı,Closure,5,Quality Manager T. Ozturk,2026-02-28,2026-04-01,Closed,2026-02-05
FSCA-038,CIH-126,Spinal Implant,Vida kilitleme mekanizması güncellendi; gevşeme riski azaltıldı,Implementation,4,Quality Manager E. Kaya,2025-11-30,2026-04-23,In Progress,2026-04-16
FSCA-039,CIH-214,Stent System,Lot inspection; paravalvular leakage risk assessed,Planning,3,Biomedical Eng. M. Celik,2026-01-29,2026-07-05,In Progress,2026-06-05
FSCA-040,CIH-315,Stethoscope,Diyafram bütünlük testi prosedürü güncellendi,Planning,3,Quality Manager E. Kaya,2026-02-08,2026-08-27,In Progress,2026-07-04
FSCA-041,CIH-202,Surgical Drill,CO2 absorber alarm calibration; response delay corrected,Signal Detection,1,Quality Manager B. Demir,2026-02-12,2026-04-09,Open,2026-04-02
FSCA-042,CIH-293,Surgical Glove,Pinhol test protokolü güçlendirildi; kalite kontrol adımları eklendi,Risk Assessment,2,Risk Manager C. Sahin,2025-11-28,2026-07-17,In Progress,2026-06-12
FSCA-043,CIH-187,Surgical Robot,Robot kol yazılımı v3.2 kritik güncelleme; titreşim kontrolü iyileştirildi,Implementation,4,Biomedical Eng. G. Arslan,2025-12-03,2026-06-29,In Progress,2026-05-08
FSCA-044,CIH-156,Surgical Stapler,Zımba magazini tasarım değişikliği; yanlış ateşleme önlendi,Closure,5,Quality Manager E. Kaya,2026-01-03,2026-03-14,Closed,2026-01-30
FSCA-045,CIH-286,Thermometer,Adhesive formula revision; skin compatibility improved,Signal Detection,1,Biomedical Eng. A. Yilmaz,2025-12-09,2026-04-24,Open,2026-04-17
FSCA-046,CIH-338,Tongue Depressor,Tedarikçi kalite denetimi yapıldı; yüzey kalitesi standardı yükseltildi,Implementation,4,Biomedical Eng. G. Arslan,2025-12-03,2026-07-05,In Progress,2026-05-28
FSCA-047,CIH-226,Ultrasound System,Prob ısınma sorunu; termal yönetim yazılımı güncellendi,Implementation,4,Quality Manager B. Demir,2025-10-24,2026-08-04,In Progress,2026-07-01
FSCA-048,VEN-006,Ventilator,PEEP kontrol algoritması güncellendi; sapma toleransı daraltıldı,Planning,3,Quality Manager E. Kaya,2026-02-05,2026-04-08,In Progress,2026-04-01
FSCA-049,CIH-108,Wound Care System,CO2 absorber alarm calibration; response delay corrected,Planning,3,Biomedical Eng. G. Arslan,2026-02-12,2026-08-11,In Progress,2026-06-12
FSCA-050,CIH-119,X-Ray System,Otomatik doz kontrol yazılımı güncellendi,Closure,5,Quality Manager E. Kaya,2026-02-28,2026-05-11,Closed,2026-03-18
